DATE	TIME	NAME	USERNAME	TWEETS	FOLLOWERS	FOLLOWING
2014-02-07	18:31	Frank Bi	frankiebi	3,724	752	1,076
DATE	TIME	NAME	USERNAME	TWEETS	FOLLOWERS	FOLLOWING
2014-02-07	18:31	Frank Bi	frankiebi	3,724	752	1,076
