DATE	TIME	NAME	USERNAME	TWEETS	FOLLOWERS	FOLLOWING
2014-02-07	18:31	Elizabeth Shell	elizabeth_shell	6,472	1,349	1,309
DATE	TIME	NAME	USERNAME	TWEETS	FOLLOWERS	FOLLOWING
2014-02-07	18:31	Elizabeth Shell	elizabeth_shell	6,472	1,349	1,309
